date,cases,cases_avg_7,cases_avg_14,cases_avg_30
2020-01-01,1,0.0,0.0,0.0
2020-01-02,0,0.0,0.0,0.0
2020-01-03,0,0.0,0.0,0.0
2020-01-04,0,0.0,0.0,0.0
2020-01-05,0,0.0,0.0,0.0
2020-01-06,0,0.0,0.0,0.0
2020-01-07,0,1.0,0.0,0.0
2020-01-08,0,0.0,0.0,0.0
2020-01-09,0,0.0,0.0,0.0
2020-01-10,1,1.0,0.0,0.0
2020-01-11,2,3.0,0.0,0.0
2020-01-12,1,4.0,0.0,0.0
2020-01-13,2,6.0,0.0,0.0
2020-01-14,0,6.0,7.0,0.0
2020-01-15,1,7.0,7.0,0.0
2020-01-16,1,8.0,8.0,0.0
2020-01-17,1,8.0,9.0,0.0
2020-01-18,2,8.0,11.0,0.0
2020-01-19,0,7.0,11.0,0.0
2020-01-20,3,8.0,14.0,0.0
2020-01-21,0,8.0,14.0,0.0
2020-01-22,0,7.0,14.0,0.0
2020-01-23,2,8.0,16.0,0.0
2020-01-24,1,8.0,16.0,0.0
2020-01-25,1,7.0,15.0,0.0
2020-01-26,1,8.0,15.0,0.0
2020-01-27,1,6.0,14.0,0.0
2020-01-28,1,7.0,15.0,0.0
2020-01-29,2,9.0,16.0,0.0
2020-01-30,1,8.0,16.0,25.0
2020-01-31,3,10.0,18.0,27.0
2020-02-01,8,17.0,24.0,35.0
2020-02-02,6,22.0,30.0,41.0
2020-02-03,7,28.0,34.0,48.0
2020-02-04,2,29.0,36.0,50.0
2020-02-05,4,31.0,40.0,54.0
2020-02-06,5,35.0,43.0,59.0
2020-02-07,10,42.0,52.0,69.0
2020-02-08,8,42.0,59.0,77.0
2020-02-09,2,38.0,60.0,78.0
2020-02-10,11,42.0,70.0,87.0
2020-02-11,7,47.0,76.0,93.0
2020-02-12,10,53.0,84.0,101.0
2020-02-13,15,63.0,98.0,116.0
2020-02-14,11,64.0,106.0,126.0
2020-02-15,13,69.0,111.0,138.0
2020-02-16,14,81.0,119.0,151.0
2020-02-17,19,89.0,131.0,168.0
2020-02-18,14,96.0,143.0,182.0
2020-02-19,12,98.0,151.0,191.0
2020-02-20,25,108.0,171.0,216.0
2020-02-21,26,123.0,187.0,242.0
2020-02-22,29,139.0,208.0,269.0
2020-02-23,44,169.0,250.0,312.0
2020-02-24,57,207.0,296.0,368.0
2020-02-25,51,244.0,340.0,418.0
2020-02-26,67,299.0,397.0,484.0
2020-02-27,94,368.0,476.0,577.0
2020-02-28,158,500.0,623.0,733.0
2020-02-29,109,580.0,719.0,841.0
